STATION_NAME,SITE_ID,FIRE_CENTRE,ENABLED,LATITUDE,LONGITUDE,ELEVATION,STATION_CODE,FIRE_ZONE
WOSS CAMP,96.1.99.254:48041,Coastal Fire Centre,TRUE,50.21317,-126.60696,148,21,North Island Mid Coast
YOUNG LAKE,96.1.66.142:48017;0x01FD-0x00EB,Cariboo Fire Centre,TRUE,51.2377778,-120.9975,1170,235,100 Mile House
ZZ APEX EXT,66bcfad000e01a5a0ce79199,,FALSE,NA,NA,NA,NA,NA
ZZ BIG BAR PROJECT,,,FALSE,NA,NA,NA,NA,NA
ZZ BOULDER QD,,,FALSE,NA,NA,NA,NA,NA
ZZ BUG CAMP CREEK,,,FALSE,NA,NA,NA,NA,NA
ZZ CHITTENDEN MEADOWS QD,,,FALSE,NA,NA,NA,NA,NA
ZZ CLIFTON,,,FALSE,NA,NA,NA,NA,NA
ZZ DEER PARK QD2,,,FALSE,NA,NA,NA,NA,NA
ZZ EAST TOBA,,,FALSE,NA,NA,NA,NA,NA
ZZ ELEVEN MILE CREEK QD,,,FALSE,NA,NA,NA,NA,NA
ZZ FTS F6 TEST,,,FALSE,NA,NA,NA,NA,NA
ZZ GOAT CREEK TS,,,FALSE,NA,NA,NA,NA,NA
ZZ GOES TEST 1,,,FALSE,NA,NA,NA,NA,NA
